Date;Magasin;Vente OK;Retour;Prix unité DH;Total DH jour
01/09/2023;RABAT01;42;20;45;3 825
02/09/2023;RABAT01;80;9;45;3 600
03/09/2023;RABAT01;126;22;45;5 670
04/09/2023;RABAT01;52;25;45;4 725
05/09/2023;RABAT01;127;0;45;5 715
06/09/2023;RABAT01;104;24;45;4 680
07/09/2023;RABAT01;125;37;45;5 625
08/09/2023;RABAT01;54;26;45;4 905
09/09/2023;RABAT01;82;19;45;3 690
10/09/2023;RABAT01;72;8;45;3 240
11/09/2023;RABAT01;53;19;45;4 815
12/09/2023;RABAT01;91;5;45;4 095
13/09/2023;RABAT01;93;0;45;4 185
14/09/2023;RABAT01;110;6;45;4 950
15/09/2023;RABAT01;58;35;45;5 265
16/09/2023;RABAT01;106;31;45;4 770
17/09/2023;RABAT01;85;25;45;3 825
18/09/2023;RABAT01;40;14;45;3 645
19/09/2023;RABAT01;70;21;45;3 150
20/09/2023;RABAT01;93;27;45;4 185
21/09/2023;RABAT01;86;0;45;3 870
22/09/2023;RABAT01;63;7;45;5 715
23/09/2023;RABAT01;97;11;45;4 365
24/09/2023;RABAT01;113;6;45;5 085
25/09/2023;RABAT01;35;16;45;3 150
26/09/2023;RABAT01;77;13;45;3 465
27/09/2023;RABAT01;104;12;45;4 680
28/09/2023;RABAT01;87;26;45;3 915
29/09/2023;RABAT01;38;4;45;3 420
30/09/2023;RABAT01;77;4;45;3 465
01/09/2023;RABAT02;13;0;45;1 215
02/09/2023;RABAT02;64;0;45;2 880
03/09/2023;RABAT02;70;0;45;3 150
04/09/2023;RABAT02;32;0;45;2 880
05/09/2023;RABAT02;81;0;45;3 645
06/09/2023;RABAT02;54;0;45;2 430
07/09/2023;RABAT02;76;0;45;3 420
08/09/2023;RABAT02;14;0;45;1 305
09/09/2023;RABAT02;40;0;45;1 800
10/09/2023;RABAT02;31;0;45;1 395
11/09/2023;RABAT02;42;0;45;3 780
12/09/2023;RABAT02;31;0;45;1 395
13/09/2023;RABAT02;34;0;45;1 530
14/09/2023;RABAT02;85;0;45;3 825
15/09/2023;RABAT02;30;0;45;2 700
16/09/2023;RABAT02;31;0;45;1 395
17/09/2023;RABAT02;29;0;45;1 305
18/09/2023;RABAT02;25;0;45;2 250
19/09/2023;RABAT02;26;0;45;1 170
20/09/2023;RABAT02;71;0;45;3 195
21/09/2023;RABAT02;81;0;45;3 645
22/09/2023;RABAT02;35;0;45;3 150
23/09/2023;RABAT02;48;0;45;2 160
24/09/2023;RABAT02;28;0;45;1 260
25/09/2023;RABAT02;28;0;45;2 565
26/09/2023;RABAT02;30;0;45;1 350
27/09/2023;RABAT02;66;0;45;2 970
28/09/2023;RABAT02;79;0;45;3 555
29/09/2023;RABAT02;42;0;45;3 780
30/09/2023;RABAT02;31;0;45;1 395
