Magasin;Date;Nbre total vente;Retour;Prix unité DH;Total DH jour
TANGER01;01/09/2023;95;0;50;9 550
TANGER01;02/09/2023;175;0;50;8 750
TANGER01;03/09/2023;201;0;50;10 050
TANGER01;04/09/2023;102;0;50;10 250
TANGER01;05/09/2023;159;0;50;7 950
TANGER01;06/09/2023;159;0;50;7 950
TANGER01;07/09/2023;201;0;50;10 050
TANGER01;08/09/2023;79;0;50;7 950
TANGER01;09/09/2023;207;0;50;10 350
TANGER01;10/09/2023;186;0;50;9 300
TANGER01;11/09/2023;85;0;50;8 500
TANGER01;12/09/2023;173;0;50;8 650
TANGER01;13/09/2023;186;0;50;9 300
TANGER01;14/09/2023;161;0;50;8 050
TANGER01;15/09/2023;75;0;50;7 500
TANGER01;16/09/2023;175;0;50;8 750
TANGER01;17/09/2023;162;0;50;8 100
TANGER01;18/09/2023;92;0;50;9 200
TANGER01;19/09/2023;0;0;50;8 450
TANGER01;20/09/2023;0;0;50;9 000
TANGER01;21/09/2023;0;0;50;8 800
TANGER01;22/09/2023;100;0;50;10 000
TANGER01;23/09/2023;154;0;50;7 700
TANGER01;24/09/2023;196;0;50;9 800
TANGER01;25/09/2023;92;0;50;9 250
TANGER01;26/09/2023;176;0;50;8 800
TANGER01;27/09/2023;178;0;50;8 900
TANGER01;28/09/2023;182;0;50;9 100
TANGER01;29/09/2023;102;0;50;10 250
TANGER01;30/09/2023;170;0;50;8 500
TANGER02;01/09/2023;57;11;50;4 650
TANGER02;02/09/2023;85;7;50;3 900
TANGER02;03/09/2023;55;3;50;2 600
TANGER02;04/09/2023;30;3;50;2 750
TANGER02;05/09/2023;46;2;50;2 200
TANGER02;06/09/2023;103;3;50;5 000
TANGER02;07/09/2023;100;5;50;4 750
TANGER02;08/09/2023;26;2;50;2 450
TANGER02;09/09/2023;76;2;50;3 700
TANGER02;10/09/2023;79;2;50;3 850
TANGER02;11/09/2023;55;10;50;4 550
TANGER02;12/09/2023;51;1;50;2 500
TANGER02;13/09/2023;56;6;50;2 500
TANGER02;14/09/2023;56;0;50;2 800
TANGER02;15/09/2023;36;0;50;3 600
TANGER02;16/09/2023;83;4;50;3 950
TANGER02;17/09/2023;60;3;50;2 850
TANGER02;18/09/2023;35;8;50;2 700
TANGER02;19/09/2023;0;0;50;4 250
TANGER02;20/09/2023;0;0;50;3 900
TANGER02;21/09/2023;0;0;50;2 800
TANGER02;22/09/2023;54;12;50;4 200
TANGER02;23/09/2023;79;2;50;3 850
TANGER02;24/09/2023;93;5;50;4 400
TANGER02;25/09/2023;57;13;50;4 450
TANGER02;26/09/2023;78;6;50;3 600
TANGER02;27/09/2023;100;0;50;5 000
TANGER02;28/09/2023;67;5;50;3 100
TANGER02;29/09/2023;48;2;50;4 650
TANGER02;30/09/2023;88;11;50;3 850
